SKU,QTY
HT34323,3
HT34324,3
HT34326,3
HT34400,0
HT34401,0
HT34402,3
HT34500,3
HT34501,0
HT34502,3
HT34520,3
HT34521,3
HT34522,3
HT34523,3
HT34524,3
HT34525,3
HT34526,3
HT34720,3
HT34723,3
HT34726,3
HT35000,3
HT35001,3
HT35002,3
HT35003,3
HT35004,3
HT35005,3
HT35020,3
HT35040,3
HT35060,3
HT35080,3
HT35081,3
HT35085,3
HT35100,3
HT35101,3
HT35102,3
HT35103,3
HT35104,3
HT35105,3
HT35180,3
HT35181,3
HT35182,0
HT35185,3
HT35200,3
HT35201,3
HT35202,3
HT35203,3
HT35204,3
HT35205,3
HT35280,3
HT35281,3
HT35285,0
HT35300,3
HT35301,3
HT35302,3
HT35303,3
HT35304,3
HT35305,3
HT35380,0
HT35381,3
HT35500,3
HT35501,3
HT35502,3
HT35503,3
HT35504,3
HT35505,3
HT35580,3
HT35581,3
HT35582,3
HT35584,0
HT35585,3
HT35600,3
HT35601,3
HT35602,3
HT35603,3
HT35604,3
HT35605,3
HT36101,3
HT36102,3
HT36103,3
HT36104,3
HT36106,3
HT36108,3
HT36109,3
HT36110,3
HT36111,3
HT36113,3
HT36115,3
HT36117,3
HT36118,3
HT36119,3
HT36120,3
HT36121,3
HT36122,3
HT36123,3
HT36124,3
HT36125,3
HT36126,3
HT36200,3
HT36201,3
HT36202,3
HT36203,3
HT36204,3
HT36206,0
HT36208,3
HT36209,3
HT36210,3
HT36211,3
HT36212,3
HT36213,3
HT36214,3
HT36215,3
HT36217,3
HT36218,3
HT36219,3
HT36220,3
HT36221,3
HT36222,3
HT36223,3
HT36224,3
HT36225,3
HT36226,3
HT36301,3
HT36302,3
HT36303,3
HT36306,0
HT36307,3
HT36308,3
HT36309,0
HT36310,3
HT36311,3
HT36313,3
HT36314,3
HT36315,3
HT36317,3
HT36318,3
HT36319,0
HT36320,3
HT36321,3
HT36322,3
HT36323,3
HT36324,3
HT36326,3
HT36401,3
HT36408,3
HT36409,3
HT36413,3
HT36417,3
HT36418,3
HT36420,3
HT36423,3
HT36424,3
HT36501,3
HT36502,3
HT36503,3
HT36504,3
HT36506,0
HT36507,0
HT36508,3
HT36509,3
HT36510,3
HT36511,0
HT36512,3
HT36513,3
HT36515,3
HT36517,3
HT36518,3
HT36519,3
HT36520,3
HT36521,3
HT37000,3
HT37001,3
HT37002,3
